,area,year,naics_id,industry,jobs,last_update,area_name
0,04013,2023,11,"Agriculture, Forestry, Fishing and Hunting",9791,2024-11-16,"Maricopa County, AZ"
1,04013,2023,21,"Mining, Quarrying, and Oil and Gas Extraction",5331,2024-11-16,"Maricopa County, AZ"
2,04013,2023,22,Utilities,8501,2024-11-16,"Maricopa County, AZ"
3,04013,2023,23,Construction,210362,2024-11-16,"Maricopa County, AZ"
4,04013,2023,31,Manufacturing,150817,2024-11-16,"Maricopa County, AZ"
5,04013,2023,42,Wholesale Trade,102391,2024-11-16,"Maricopa County, AZ"
6,04013,2023,44,Retail Trade,282836,2024-11-16,"Maricopa County, AZ"
7,04013,2023,48,Transportation and Warehousing,183942,2024-11-16,"Maricopa County, AZ"
8,04013,2023,51,Information,52180,2024-11-16,"Maricopa County, AZ"
9,04013,2023,52,Finance and Insurance,251658,2024-11-16,"Maricopa County, AZ"
10,04013,2023,53,Real Estate and Rental and Leasing,209068,2024-11-16,"Maricopa County, AZ"
11,04013,2023,54,"Professional, Scientific, and Technical Services",214279,2024-11-16,"Maricopa County, AZ"
12,04013,2023,55,Management of Companies and Enterprises,49663,2024-11-16,"Maricopa County, AZ"
13,04013,2023,56,Admin/Support/Waste Mgmt and Remediation Svcs,235089,2024-11-16,"Maricopa County, AZ"
14,04013,2023,61,Educational Services,79743,2024-11-16,"Maricopa County, AZ"
15,04013,2023,62,Health Care and Social Assistance,358852,2024-11-16,"Maricopa County, AZ"
16,04013,2023,71,"Arts, Entertainment, and Recreation",64853,2024-11-16,"Maricopa County, AZ"
17,04013,2023,72,Accommodation and Food Services,220553,2024-11-16,"Maricopa County, AZ"
18,04013,2023,81,Other Services (except Public Administration),151597,2024-11-16,"Maricopa County, AZ"
19,04013,2023,90,Government,241500,2024-11-16,"Maricopa County, AZ"
20,06073,2023,11,"Agriculture, Forestry, Fishing and Hunting",14846,2024-11-16,"San Diego County, CA"
21,06073,2023,21,"Mining, Quarrying, and Oil and Gas Extraction",486,2024-11-16,"San Diego County, CA"
22,06073,2023,22,Utilities,6240,2024-11-16,"San Diego County, CA"
23,06073,2023,23,Construction,117720,2024-11-16,"San Diego County, CA"
24,06073,2023,31,Manufacturing,122013,2024-11-16,"San Diego County, CA"
25,06073,2023,42,Wholesale Trade,51692,2024-11-16,"San Diego County, CA"
26,06073,2023,44,Retail Trade,179988,2024-11-16,"San Diego County, CA"
27,06073,2023,48,Transportation and Warehousing,76523,2024-11-16,"San Diego County, CA"
28,06073,2023,51,Information,31146,2024-11-16,"San Diego County, CA"
29,06073,2023,52,Finance and Insurance,125438,2024-11-16,"San Diego County, CA"
30,06073,2023,53,Real Estate and Rental and Leasing,145035,2024-11-16,"San Diego County, CA"
31,06073,2023,54,"Professional, Scientific, and Technical Services",231844,2024-11-16,"San Diego County, CA"
32,06073,2023,55,Management of Companies and Enterprises,24923,2024-11-16,"San Diego County, CA"
33,06073,2023,56,Admin/Support/Waste Mgmt and Remediation Svcs,128782,2024-11-16,"San Diego County, CA"
34,06073,2023,61,Educational Services,42923,2024-11-16,"San Diego County, CA"
35,06073,2023,62,Health Care and Social Assistance,242782,2024-11-16,"San Diego County, CA"
36,06073,2023,71,"Arts, Entertainment, and Recreation",53662,2024-11-16,"San Diego County, CA"
37,06073,2023,72,Accommodation and Food Services,182210,2024-11-16,"San Diego County, CA"
38,06073,2023,81,Other Services (except Public Administration),136478,2024-11-16,"San Diego County, CA"
39,06073,2023,90,Government,340217,2024-11-16,"San Diego County, CA"
40,12086,2023,11,"Agriculture, Forestry, Fishing and Hunting",18320,2024-11-16,"Miami-Dade County, FL"
41,12086,2023,21,"Mining, Quarrying, and Oil and Gas Extraction",1225,2024-11-16,"Miami-Dade County, FL"
42,12086,2023,22,Utilities,3662,2024-11-16,"Miami-Dade County, FL"
43,12086,2023,23,Construction,123480,2024-11-16,"Miami-Dade County, FL"
44,12086,2023,31,Manufacturing,55291,2024-11-16,"Miami-Dade County, FL"
45,12086,2023,42,Wholesale Trade,88100,2024-11-16,"Miami-Dade County, FL"
46,12086,2023,44,Retail Trade,184402,2024-11-16,"Miami-Dade County, FL"
47,12086,2023,48,Transportation and Warehousing,234097,2024-11-16,"Miami-Dade County, FL"
48,12086,2023,51,Information,34374,2024-11-16,"Miami-Dade County, FL"
49,12086,2023,52,Finance and Insurance,149923,2024-11-16,"Miami-Dade County, FL"
50,12086,2023,53,Real Estate and Rental and Leasing,178432,2024-11-16,"Miami-Dade County, FL"
51,12086,2023,54,"Professional, Scientific, and Technical Services",168196,2024-11-16,"Miami-Dade County, FL"
52,12086,2023,55,Management of Companies and Enterprises,17972,2024-11-16,"Miami-Dade County, FL"
53,12086,2023,56,Admin/Support/Waste Mgmt and Remediation Svcs,161877,2024-11-16,"Miami-Dade County, FL"
54,12086,2023,61,Educational Services,57095,2024-11-16,"Miami-Dade County, FL"
55,12086,2023,62,Health Care and Social Assistance,238966,2024-11-16,"Miami-Dade County, FL"
56,12086,2023,71,"Arts, Entertainment, and Recreation",37984,2024-11-16,"Miami-Dade County, FL"
57,12086,2023,72,Accommodation and Food Services,146679,2024-11-16,"Miami-Dade County, FL"
58,12086,2023,81,Other Services (except Public Administration),177855,2024-11-16,"Miami-Dade County, FL"
59,12086,2023,90,Government,147541,2024-11-16,"Miami-Dade County, FL"
60,26163,2023,11,"Agriculture, Forestry, Fishing and Hunting",1084,2024-11-16,"Wayne County, MI"
61,26163,2023,21,"Mining, Quarrying, and Oil and Gas Extraction",1140,2024-11-16,"Wayne County, MI"
62,26163,2023,22,Utilities,3412,2024-11-16,"Wayne County, MI"
63,26163,2023,23,Construction,38976,2024-11-16,"Wayne County, MI"
64,26163,2023,31,Manufacturing,95070,2024-11-16,"Wayne County, MI"
65,26163,2023,42,Wholesale Trade,28911,2024-11-16,"Wayne County, MI"
66,26163,2023,44,Retail Trade,82088,2024-11-16,"Wayne County, MI"
67,26163,2023,48,Transportation and Warehousing,86860,2024-11-16,"Wayne County, MI"
68,26163,2023,51,Information,10417,2024-11-16,"Wayne County, MI"
69,26163,2023,52,Finance and Insurance,48813,2024-11-16,"Wayne County, MI"
70,26163,2023,53,Real Estate and Rental and Leasing,45857,2024-11-16,"Wayne County, MI"
71,26163,2023,54,"Professional, Scientific, and Technical Services",75822,2024-11-16,"Wayne County, MI"
72,26163,2023,55,Management of Companies and Enterprises,24265,2024-11-16,"Wayne County, MI"
73,26163,2023,56,Admin/Support/Waste Mgmt and Remediation Svcs,58553,2024-11-16,"Wayne County, MI"
74,26163,2023,61,Educational Services,16668,2024-11-16,"Wayne County, MI"
75,26163,2023,62,Health Care and Social Assistance,132259,2024-11-16,"Wayne County, MI"
76,26163,2023,71,"Arts, Entertainment, and Recreation",19595,2024-11-16,"Wayne County, MI"
77,26163,2023,72,Accommodation and Food Services,65950,2024-11-16,"Wayne County, MI"
78,26163,2023,81,Other Services (except Public Administration),56706,2024-11-16,"Wayne County, MI"
79,26163,2023,90,Government,88289,2024-11-16,"Wayne County, MI"
